,rowid,pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_id,default_flag,sy_snum,system_no_of_planets,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,period,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_tsystemref,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_icmag,sy_tmag,sy_kepmag,rowupdate,pl_pubdate,releasedate,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec
10501,13839,Kepler-165 b,Kepler-165,b,,,TIC 123129877,Gaia DR2 2119814820141727232,0,1,2,0,0,Transit,2014,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,8.18086953,0.0716,2.46,,,,,,,,,,,,0.0,73.21,746.0,85.37,2455009.701,BJD,0,0.8766,0.07664,2.9587,11.46,0.02984,,,,,,,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,5208.0,0.76,0.73,-0.32,[Fe/H],,4.55,,0.4249,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m45.82s,280.69092,+47d48m34.81s,47.8096702,21.12868,76.92011,70.43928,291.84651,21.9176708,-15.5304,-15.4658,560.885,1.75418,15.7,15.05,13.43,12.926,12.843,,,,,,12.838,12.889,13.101,9.509,14.7945,,14.2294,14.802,18/11/2014,04/12/2014,18/11/2014,1,0,0,0,0,0
10512,13850,Kepler-165 c,Kepler-165,c,,,TIC 123129877,Gaia DR2 2119814820141727232,0,1,2,0,0,Transit,2014,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,15.31296388,,,,,,,,,,,,,,,,,,2455004.794,BJD,0,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5155.0,0.73,0.87,,,-0.472,4.65,,3.1809,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m45.82s,280.69092,+47d48m34.81s,47.8096702,21.12868,76.92011,70.43928,291.84651,21.9176708,-15.5304,-15.4658,560.885,1.75418,15.7,15.05,13.43,12.926,12.843,,,,,,12.838,12.889,13.101,9.509,14.7945,,14.2294,14.802,25/09/2018,16/08/2018,25/09/2018,1,0,0,0,0,0
10523,13861,Kepler-1650 b,Kepler-1650,b,,,TIC 273502299,Gaia DR2 2078524482038704000,0,1,1,0,0,Transit,2017,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..267M/abstract target=ref>Mann et al. 2017</a>,2017-06,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,1.53818153,0.0163,0.75,,,,,,,,,,,,0.0,27.14,582.0,89.38,2454964.822,BJD,0,0.1486,0.09383,1.1027,10.84,0.02653,,,,,,,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,3304.0,0.26,0.24,0.0,[Fe/H],,4.99,,10.186,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h50m55.02s,297.7292296,+42d52m00.09s,42.8666919,8.2103,77.22891,61.9116,316.41193,51.2894081,-1.68263,-51.2618,134.397,7.41203,18.847,17.07,12.99,12.438,12.199,,,,,,12.036,11.909,11.393,8.727,15.7393,,14.5237,15.722,21/11/2014,18/12/2014,21/11/2014,1,0,0,0,0,0
10532,13870,Kepler-1651 b,Kepler-1651,b,,,TIC 48353358,Gaia DR2 2131725447350716032,0,2,1,0,0,Transit,2017,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..267M/abstract target=ref>Mann et al. 2017</a>,2017-06,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,9.8786461,0.0692,1.6,,,,,,,,,,,,0.0,5.65,393.0,89.97,2454971.412,BJD,0,0.019,0.14727,1.8915,41.282,0.03476,,,,,,,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,3609.0,0.42,0.45,-0.06,[Fe/H],,4.84,,13.6374,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h54m30.78s,283.6282602,+48d23m26.91s,48.3908081,19.45131,78.1688,70.50987,297.9625,49.8624206,-10.8223,-48.6738,66.4074,15.0296,15.669,13.86,10.648,9.979,9.804,,,,,,9.444,9.35,9.326,8.770001,13.0716,,12.1042,13.496,08/05/2017,31/08/2017 00:00,08/05/2017,5,0,0,0,0,0
10540,13878,Kepler-1652 b,Kepler-1652,b,,,TIC 27187450,Gaia DR2 2135055391335687680,0,1,1,0,0,Transit,2017,<a refstr=TORRES_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..264T/abstract target=ref>Torres et al. 2017</a>,2017-12,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q8_koi),0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,38.09824,0.178,1.39,,,,,,,,,,,,0.0,,288.0,89.95,2454972.996,BJD,0,0.29,0.0818,3.1406,91.0,0.025,,,,,,,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,3885.0,0.5,0.52,,,,4.75,13.9,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m27.85s,294.3660313,+49d54m54.08s,49.9150219,13.5651,82.45902,69.27339,318.64621,7.8793302,-7.4772,-2.48502,,,18.805,16.86,13.454,12.784,12.635,,,,,,12.498,12.383,12.34,9.141,16.0023,,15.0031,15.931,28/10/2013,08/01/2014,28/10/2013,0,0,0,0,0,0
10548,13886,Kepler-1653 b,Kepler-1653,b,,,TIC 184561612,,0,1,1,0,0,Transit,2017,<a refstr=TORRES_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..264T/abstract target=ref>Torres et al. 2017</a>,2017-12,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,140.252515,0.4651,1.73,,,,,,,,,,,,0.0,1.04,257.0,89.95,2455008.133,BJD,0,0.3553,0.06352,6.651,154.5,0.02272,,,,,,,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,4771.0,0.7,0.68,-0.22,[Fe/H],,4.59,,3.546,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m49.85s,296.457702,+41d15m57.68s,41.266021,8.24842,75.35176,60.78646,313.32676,,,,,,16.983,15.864,13.88,13.278,13.211,,,,,,13.141,13.232,12.968,9.398,,,14.672,15.429,18/11/2014,04/12/2014,18/11/2014,0,0,0,0,0,0
10556,13894,Kepler-1654 b,Kepler-1654,b,,,TIC 123417316,Gaia DR2 2105415302330571008,1,1,1,0,0,Transit,2018,<a refstr=BEICHMAN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..158B/abstract target=ref>Beichman et al. 2018</a>,2018-04,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=BEICHMAN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..158B/abstract target=ref>Beichman et al. 2018</a>,1047.8356,2.026,9.18,0.819,158.915,0.5,,,,,158.915,0.5,Mass,1.2,0.26,0.3,206.0,89.982,2455375.134,BJD-TDB,0,0.114,0.5096,22.992,370.3,0.07138,,,81.0,2.7,,,<a refstr=BEICHMAN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..158B/abstract target=ref>Beichman et al. 2018</a>,G5 V,5597.0,1.18,1.01,-0.088,[Fe/H],0.09,4.3,5.0,0.876,2.0,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h48m44.57s,282.1856949,+44d26m04.06s,44.4344617,19.06885,73.86663,66.91972,292.61124,16.1565433,-16.1393,-0.746249,568.117,1.73131,14.332,13.497,12.281,11.934,11.922,,,,,,11.875,11.929,11.846,9.354,13.4057,,12.9495,13.424,05/03/2018,2018-04,08/03/2018,0,0,0,0,0,0
10557,13895,Kepler-1655 b,Kepler-1655,b,,,TIC 120973167,Gaia DR2 2100392428275714688,1,1,1,0,0,Transit,2018,<a refstr=HAYWOOD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..203H/abstract target=ref>Haywood et al. 2018</a>,2018-05,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=HAYWOOD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..203H/abstract target=ref>Haywood et al. 2018</a>,11.8728787,0.103,2.213,0.197,5.0,0.01573,,,,,5.0,0.01573,Mass,2.5,,155.0,,87.62,2455013.898,BJD,0,0.85,,,20.5,0.01965,,,-71.0,1.47,,,<a refstr=HAYWOOD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..203H/abstract target=ref>Haywood et al. 2018</a>,G0 V,6148.0,1.03,1.03,-0.24,[Fe/H],,4.36,2.56,1.3,3.5,13.6,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m45.50s,286.6895986,+39d12m43.49s,39.2120802,14.01685,70.10576,61.07392,297.39008,44.8268376,29.509,33.7441,213.26,4.66028,11.624,11.045,10.065,9.849,9.785,14.5027,11.4818,11.0932,10.9806,13.1015,9.749,9.778,9.656,8.712,11.0141,,10.6341,11.072,04/04/2018,2018-05,05/04/2018,0,0,0,0,0,0
10566,13904,Kepler-1656 b,Kepler-1656,b,,,TIC 120255950,Gaia DR2 2103392720630278656,1,1,2,0,0,Transit,2018,<a refstr=BRADY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..147B/abstract target=ref>Brady et al. 2018</a>,2018-10,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=ANGELO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..227A/abstract target=ref>Angelo et al. 2022</a>,31.562,0.1974,,,47.8,0.15,47.8,0.15,,,47.8,0.15,Mass,,0.838,,,,2455011.47,JD,0,,,,,,,,52.8,17.1,,,<a refstr=ANGELO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..227A/abstract target=ref>Angelo et al. 2022</a>,,,1.1,1.03,,,,,6.31,,2.8,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h57m53.34s,284.4722473,+39d54m42.80s,39.911889,15.86374,70.07924,62.13985,294.21703,20.6153452,10.8652,17.5197,185.875,5.35115,11.9,11.64,10.046,9.715,9.64,14.8997,11.5842,11.119,10.9729,11.3513,9.593,9.64,9.609,8.962,11.0622,,10.6114,11.105,24/05/2022,2022-05,24/05/2022,0,0,0,0,0,0
10576,13915,Kepler-1658 b,Kepler-1658,b,,,TIC 377873569,Gaia DR2 2052194374009877376,0,1,1,0,0,Transit,2019,<a refstr=CHONTOS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..192C/abstract target=ref>Chontos et al. 2019</a>,2019-05,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,3.84860026,,15.198,1.356,,,,,,,,,,,,6691.6,2307.0,,2459771.442,BJD,0,,0.129481,2.4487442,,,,,,,,,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5843.47,3.91,,,,,3.27,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m25.57s,294.3565559,+38d56m50.43s,38.9473424,8.55004,72.51658,59.15542,308.72125,5.3767332,-0.0713298,-5.37626,788.238,1.24059,11.857,11.62,10.475,10.266,10.195,,,,,,10.131,10.162,10.069,9.025,11.42,,11.0418,11.432,11/10/2022,2017-07,11/10/2022,1,0,0,0,0,0
10584,13923,Kepler-166 b,Kepler-166,b,,,TIC 26814955,Gaia DR2 2129025841368107136,0,1,3,0,0,Transit,2014,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,7.65024351,,,,,,,,,,,,,,,,,,2455004.972,BJD,0,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5230.0,0.78,0.89,,,-0.385,4.6,,2.6256,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h32m38.42s,293.1600977,+48d52m52.35s,48.8812074,13.81924,81.14899,68.6996,315.3989,7.1768718,-6.62996,-2.74793,603.53,1.62825,15.678,14.857,13.346,12.941,12.876,,,,,,12.827,12.855,12.694,9.859,14.6848,,14.143,14.701,25/09/2018,16/08/2018,25/09/2018,1,0,0,0,0,0
10595,13934,Kepler-166 c,Kepler-166,c,,,TIC 26814955,Gaia DR2 2129025841368107136,0,1,3,0,0,Transit,2014,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,34.25951372,0.1931,2.49,,,,,,,,,,,,0.0,11.87,473.0,89.95,2455016.238,BJD,1,0.0859,0.11101,4.7968,56.01,0.03007,,,,,,,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5413.0,0.76,0.82,-0.28,[Fe/H],,4.59,,2.832,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h32m38.42s,293.1600977,+48d52m52.35s,48.8812074,13.81924,81.14899,68.6996,315.3989,7.1768718,-6.62996,-2.74793,603.53,1.62825,15.678,14.857,13.346,12.941,12.876,,,,,,12.827,12.855,12.694,9.859,14.6848,,14.143,14.701,25/08/2015,24/09/2015,25/08/2015,1,0,0,0,0,0
10606,13945,Kepler-166 d,Kepler-166,d,,,TIC 26814955,Gaia DR2 2129025841368107136,0,1,3,0,0,Transit,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016-05,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,1.55400393,0.0246,1.58,,,,,,,,,,,,0.0,731.43,1326.0,88.81,2455002.83,BJD,0,0.148,0.04406,1.7696,6.791,0.01902,,,,,,,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5413.0,0.76,0.82,-0.28,[Fe/H],,4.59,,2.453,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h32m38.42s,293.1600977,+48d52m52.35s,48.8812074,13.81924,81.14899,68.6996,315.3989,7.1768718,-6.62996,-2.74793,603.53,1.62825,15.678,14.857,13.346,12.941,12.876,,,,,,12.827,12.855,12.694,9.859,14.6848,,14.143,14.701,21/11/2014,18/12/2014,21/11/2014,1,0,0,0,0,0
10616,13955,Kepler-1661 b,Kepler-1661,b,,,TIC 164886585,Gaia DR2 2104078025612319360,1,2,1,0,1,Transit,2020,<a refstr=SOCIA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...94S/abstract target=ref>Socia et al. 2020</a>,2020-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=SOCIA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...94S/abstract target=ref>Socia et al. 2020</a>,175.06,0.633,3.87,0.345,17.0,0.05349,,,,,17.0,0.05349,Mass,1.6,0.057,0.88,243.0,89.46,2456007.1,BJD,0,,,,,0.04651,,,67.1,,,,<a refstr=SOCIA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...94S/abstract target=ref>Socia et al. 2020</a>,K,5100.0,0.76,0.84,-0.12,[M/H],,4.66,2.0,,2.5,24.44,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h00m40.10s,285.1670927,+41d58m00.98s,41.9669383,16.15714,72.26462,64.02419,296.36893,27.6028078,-7.99366,-26.42,410.607,2.4066,15.384,14.357,12.729,12.223,12.162,,,,,,12.069,12.114,11.698,8.757,14.1933,,13.5804,14.216,21/02/2020,2020-03,27/02/2020,4,0,0,0,0,0
10617,13956,Kepler-1663 b,Kepler-1663,b,,,TIC 407001589,Gaia DR2 2129578826996503040,0,1,1,0,0,Transit,2020,<a refstr=ARMSTRONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5327A/abstract target=ref>Armstrong et al. 2021</a>,2021-07,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,17.60460628,0.1059,2.63,,,,,,,,,,,,0.0,3.76,355.0,88.24,2455003.499,BJD,0,0.7862,0.23744,3.808,24.5,0.04917,,,,,,,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,3743.0,0.49,0.51,0.06,[Fe/H],,4.76,,0.9029,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m36.36s,290.4015156,+48d49m21.80s,48.8227234,15.44414,80.31086,69.39549,310.70637,40.3012411,-1.97538,40.2528,337.926,2.9307,17.9,16.069,13.418,12.741,12.552,,,,,,12.452,12.508,12.399,8.936,15.6164,,14.6401,15.613,18/11/2014,04/12/2014,18/11/2014,0,0,0,0,0,0
10625,13964,Kepler-1664 b,Kepler-1664,b,,,TIC 399860388,Gaia DR2 2131313444027771520,0,1,1,0,0,Transit,2020,<a refstr=ARMSTRONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5327A/abstract target=ref>Armstrong et al. 2021</a>,2021-07,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,14.3868109,0.1189,2.75,,,,,,,,,,,,0.0,101.7,810.0,89.95,2455003.456,BJD,0,0.1614,0.05802,2.169,51.14,0.02199,,,,,,,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5914.0,1.15,1.08,0.16,[Fe/H],,4.35,,12.2231,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h07m24.65s,286.8527157,+49d15m42.00s,49.2616668,17.76123,79.80597,70.66815,304.85695,4.4032922,3.74897,-2.30959,626.691,,14.742,13.621,12.465,12.141,12.054,,,,,,12.039,12.084,11.826,9.46,13.5307,,13.0693,13.586,21/11/2014,18/12/2014,21/11/2014,0,0,0,0,0,0
10633,13972,Kepler-1665 b,Kepler-1665,b,,,TIC 122442334,Gaia DR2 2101773689759891328,0,1,1,0,0,Transit,2020,<a refstr=ARMSTRONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5327A/abstract target=ref>Armstrong et al. 2021</a>,2021-07,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q8_koi),0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,11.954776,0.093,2.3,,,,,,,,,,,,0.0,,641.0,88.81,2455011.72,BJD,0,0.62,0.0867,2.1391,35.0,0.0281,,,,,,,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,5088.0,0.76,0.75,,,,4.55,13.9,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m35.10s,290.39624,+41d02m23.72s,41.0399229,12.20124,73.02343,62.08204,304.15469,32.281662,4.71753,-31.9351,335.515,2.9516,14.779,13.737,12.113,11.607,11.571,,,,,,11.451,11.486,11.201,8.643,13.5913,,13.011,13.594,28/10/2013,08/01/2014,28/10/2013,0,0,0,0,0,0
