rowid,pl_name,hostname,period,system_no_of_planets,T0,T0_unit,Author
4330,K2-284 b,K2-284,4.795069,1,57858.61316,MJD,K2
4332,K2-285 b,K2-285,3.471745,4,57742.87545,MJD,K2
4334,K2-285 c,K2-285,7.138561,4,57744.03906,MJD,K2
4336,K2-285 d,K2-285,10.45582,4,57744.701,MJD,K2
4337,K2-285 e,K2-285,14.76289,4,57741.3969,MJD,K2
4338,K2-286 b,K2-286,27.359,1,58009.917,MJD,K2
4339,K2-287 b,K2-287,14.893291,1,58001.22138,MJD,K2
4340,K2-288 B b,K2-288 B,31.393463,1,57062.90237,MJD,K2
4342,K2-289 b,K2-289,13.156974,1,56896.64385,MJD,K2
4346,K2-29 b,K2-29,3.258824,1,57063.9317,MJD,K2
4354,K2-290 b,K2-290,9.21165,2,57994.2725,MJD,K2
4355,K2-290 c,K2-290,48.36685,2,58018.67333,MJD,K2
4356,K2-291 b,K2-291,2.2254527,1,57829.56163,MJD,K2
4359,K2-292 b,K2-292,16.9841,1,58179.7842,MJD,K2
4360,K2-293 b,K2-293,13.1225,1,57748.6347,MJD,K2
4361,K2-294 b,K2-294,2.50387,1,57739.5093,MJD,K2
